Source_auth,Target_auth,Score,Size,Common,Color
B   Mazurek,B   Mazurek,1,69,69,green
B   Mazurek,A   Szczepek,0.78327586,37,33,green
B   Mazurek,H   Olze,0.99963809,21,14,green
B   Mazurek,P   BrÃ¼ggemann,0.634108571,8,8,yellow
B   Mazurek,C   Cederroth,0.595216756,14,5,yellow
B   Mazurek,S   GrÃ¤bel,0.891158708,8,4,yellow
B   Mazurek,N   Lorenz,0.554693325,3,3,yellow
B   Mazurek,T   StÃ¶ver,0.624236753,6,3,yellow
B   Mazurek,C   Gerloff,0.553347042,6,2,red
B   Mazurek,B   JÃ¤ger,0.658179299,7,2,red
B   Mazurek,M   Knipper,0.664941759,12,2,red
B   Mazurek,J   Lopez-Escamez,0.562806193,9,2,red
B   Mazurek,J   Frommer,0.644864545,5,1,red
B   Mazurek,S   Graebel,0.81522796,2,1,red
B   Mazurek,C   Braun,0.992326819,3,1,red
B   Mazurek,A   Fallgatter,0.648461289,5,1,red
B   Mazurek,H   Coors,0.583915558,2,0,red
B   Mazurek,H   Yilmaz,0.584501467,2,0,red
B   Mazurek,D   Kallogjeri,0.582967233,13,0,red
B   Mazurek,F   Pan,0.587677997,4,0,red
D   Hall,D   Hall,1,68,68,green
D   Hall,D   Hoare,0.647638458,53,31,green
D   Hall,M   Sereda,0.674177498,21,14,green
D   Hall,K   Fackrell,0.653643158,17,12,green
D   Hall,H   Haider,0.633838002,11,9,yellow
D   Hall,M   Edmondson-Jones,0.63297611,10,6,yellow
D   Hall,P   Gander,0.606779693,10,5,yellow
D   Hall,D   Thompson,0.609110703,7,5,yellow
D   Hall,M   Mielczarek,0.682813923,9,4,yellow
D   Hall,R   Mehta,0.67873581,4,4,yellow
D   Hall,D   Stockdale,0.75086445,10,4,yellow
D   Hall,D   McFerran,0.84957172,14,4,yellow
D   Hall,J   Taylor,0.696324906,3,3,yellow
D   Hall,R   Cima,0.664504481,17,2,red
D   Hall,J   Lopez-Escamez,0.649142982,9,2,red
D   Hall,R   Nicholson,0.640271227,2,2,red
D   Hall,A   Norena,0.694785443,12,2,red
D   Hall,R   Pryss,0.609113804,9,2,red
D   Hall,T   Fuller,0.642068736,4,2,red
D   Hall,L   Collins,0.635537885,2,2,red
G   Andersson,G   Andersson,1,74,74,green
G   Andersson,V   Kaldo,0.670087966,14,14,green
G   Andersson,V   Westin,0.627733305,11,11,green
G   Andersson,M   KleinstÃ¤uber,0.652895907,10,8,yellow
G   Andersson,W   Hiller,0.679502076,13,4,yellow
G   Andersson,T   StrÃ¶mgren,0.619863815,2,2,red
G   Andersson,R   Zarenoe,0.631525682,4,2,red
G   Andersson,N   Nyenhuis,0.700225029,4,1,red
G   Andersson,L   McKenna,0.673440997,14,1,red
G   Andersson,B   Klein,0.616967329,6,1,red
G   Andersson,B   KrÃ¶ner-Herwig,0.775123055,13,1,red
G   Andersson,S   Oh,0.641618396,13,0,red
G   Andersson,J   Moring,0.641550124,4,0,red
G   Andersson,M   Bussi,0.629277984,3,0,red
G   Andersson,W   Gaggl,0.629311793,2,0,red
G   Andersson,J   Wang,0.6301205,15,0,red
G   Andersson,J   Nicklaus,0.630325407,11,0,red
G   Andersson,M   Seidman,0.630448034,10,0,red
G   Andersson,M   Hoffer,0.641671101,5,0,red
G   Andersson,D   Chang,0.630500362,5,0,red
J   Henry,J   Henry,1,67,67,green
J   Henry,T   Zaugg,0.610476101,23,22,green
J   Henry,S   Griest,0.666928827,26,18,green
J   Henry,G   McMillan,0.612943827,14,11,green
J   Henry,K   Carlson,0.626684283,11,11,green
J   Henry,S   Theodoroff,0.658814538,18,9,yellow
J   Henry,S   Fausti,0.704476541,7,6,yellow
J   Henry,C   Flick,0.630947038,3,3,yellow
J   Henry,H   Abrams,0.661194006,3,3,yellow
J   Henry,J   Carter,0.681334996,2,2,red
J   Henry,C   Blankenship,0.660116167,2,2,red
J   Henry,W   Helt,0.660065656,3,2,red
