Name,Id,Docs,Size
J   Kaltenbach,1011,"[10675644, 10755809, 23440516, 26520582, 11950539, 12163523, 12361876, 14729250, 16081009, 16469461, 17114138, 17956775, 18978198, 21068300, 21146597, 24047942, 31022358, 21536826]",18
J   Melcher,1043,"[17956816, 10669517, 17956783, 18632767, 19699287, 20881196, 21068300, 22504034, 22869301, 25231612]",10
J   Park,1060,"[10772302, 29324903, 24023574, 32955464, 26154843, 27023015, 23151834, 24296263, 29043888, 29649793, 32176148, 32269003]",12
J   Vernon,1112,"[10857999, 17114146, 11981384, 12856298, 12856299, 16640064, 22156949]",7
J   Weissman,1118,"[10924551, 16718451]",2
K   Gosepath,1169,"[10923310, 11219406]",2
K   Greimel,1171,"[14689647, 12627251, 28271241, 10888343, 15106289, 18616090]",6
K   Holgers,1176,"[11093613, 11465295, 16315449, 12166689, 12689455, 12647204, 14655330, 15643739, 16415703, 16717016, 16844885, 21716113, 22100742]",13
A   Norena,123,"[11033244, 12401967, 15319555, 17079102, 23104014, 27250987, 29375369, 29628872, 29708062, 31689367, 31969359, 32154627]",12
L   Johansen,1265,"[10718675, 11016286]",2
L   Lyttkens,1274,"[11063238, 11177034, 11200593, 12169130, 12271112]",5
M   Decat,1358,"[10993550, 20163050, 24793493, 25420904, 29159044]",5
M   Rogowski,1510,"[10822971, 11318464, 11318470, 11603778, 15603394, 15732834, 19681492]",7
A   Sieskiewicz,163,"[10822971, 15603394]",2
P   Bjerring,1670,"[10718675, 11016286]",2
R   Dauman,1797,"[10737089, 25862625, 12701746, 16092541, 25017670, 32976248]",6
R   Ellingson,1800,"[10943023, 11732833, 17114140, 15558367, 15685475, 23886426]",6
R   Folmer,1803,"[11032291, 11283496, 12234379, 12792317, 15008444, 15379348, 16399193, 17114152, 19205163, 20633385, 21674401, 22937406, 22156949, 23444467, 24622863, 25600417, 26181507, 28183355, 29464519]",19
R   Heermann,1814,"[10994170, 15042481]",2
R   Johansson,1820,"[10908984, 17888810, 26086944, 28415897, 29188734, 27114881]",6
