time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2000,0,0.190568057,0.051468185,0.084165788,0.035429167,0.108994795,0.071405749,0.096390196,0.041355282,0.137964677,0.161790415,0.020467687
2000,1,0.024666057,0.122255897,0.106933717,0.146372595,0.064215267,0.107849886,0.094794495,0.134673054,0.034596528,0.040175747,0.123466757
2000,2,0.206018648,0.038468602,0.052746608,0.004841038,0.124227293,0.064200439,0.109334726,0.049672075,0.135522825,0.182047306,0.032920441
2000,3,0.015446872,0.122368931,0.091597615,0.127849732,0.075581506,0.122091711,0.092033052,0.131561287,0.05617349,0.034411435,0.13088437
2001,0,0.168220507,0.066204333,0.094095315,0.049668237,0.100503537,0.077179466,0.087739314,0.046510886,0.135040305,0.142434933,0.032403169
2001,1,0.03850968,0.116393229,0.109344461,0.143251196,0.068105206,0.102845834,0.089386506,0.120427797,0.042115177,0.045129783,0.124491131
2001,2,0.194858416,0.048634119,0.051926917,0.007116173,0.11862941,0.063197112,0.111172029,0.056980395,0.130740005,0.171882982,0.044862441
2001,3,0.024767795,0.112721808,0.079278614,0.115288466,0.081690015,0.129975486,0.100243503,0.134462718,0.056273452,0.047194004,0.118104139
2002,0,0.166833361,0.072851945,0.106380502,0.056643993,0.095158146,0.075353808,0.077391168,0.038885164,0.141358674,0.136469096,0.032674143
2002,1,0.039703675,0.115589579,0.102200201,0.135401067,0.07105048,0.110610247,0.089030209,0.117024987,0.047435148,0.047111375,0.124843032
2002,2,0.182442246,0.058216773,0.051875128,0.010104207,0.113011908,0.062896477,0.110807777,0.062746327,0.127750301,0.162552026,0.057596831
2002,3,0.028749969,0.106177904,0.075993475,0.117034305,0.084133073,0.132171731,0.10591341,0.139064863,0.045324842,0.048764534,0.116671895
2003,0,0.165983887,0.078742783,0.111972909,0.058573844,0.090473646,0.078143922,0.0729551,0.036081166,0.142231281,0.131179558,0.033661905
2003,1,0.045639851,0.111346712,0.099083863,0.128913615,0.074602262,0.114049422,0.090279793,0.114007964,0.051863418,0.051791806,0.118421293
2003,2,0.171766618,0.064516416,0.054551451,0.014131733,0.108938257,0.05885996,0.110637892,0.067250305,0.124397289,0.155228702,0.069721376
2003,3,0.032778352,0.100953191,0.077969947,0.122394035,0.085475472,0.133673878,0.105722485,0.13850031,0.039998272,0.049612403,0.112921656
2004,0,0.15611896,0.084727944,0.116258785,0.065846828,0.087062813,0.081651137,0.069174649,0.037720625,0.140985376,0.122871344,0.037581538
2004,1,0.057240245,0.108523457,0.098835399,0.120827267,0.075636645,0.118083901,0.089723038,0.106656678,0.057371225,0.05703484,0.110067308
2004,2,0.160388086,0.069615152,0.057142237,0.019756679,0.1066398,0.053549518,0.10938646,0.071961833,0.122832291,0.149483362,0.079244582
2004,3,0.040865074,0.095647663,0.079415551,0.124827166,0.085660038,0.138805327,0.106767895,0.137850929,0.032837659,0.050654477,0.106668219
2005,0,0.13895788,0.08725414,0.117006513,0.075515469,0.088094705,0.079279259,0.067746662,0.043344105,0.140617409,0.116219005,0.045964853
2005,1,0.075939297,0.107297726,0.100136594,0.111042354,0.073432751,0.126746723,0.088934656,0.097987447,0.05851316,0.062105219,0.097864072
2005,2,0.146007259,0.07163313,0.057850962,0.02769827,0.107387098,0.047678038,0.109171234,0.078013887,0.121978198,0.144556208,0.088025716
2005,3,0.036596729,0.09260505,0.079394036,0.130885119,0.08721706,0.14068583,0.107254833,0.139969827,0.029598096,0.048008212,0.107785208
