Name,Id,Docs,Size
A   Aarnisalo,0,"[26685859, 25437140, 27124116, 27250123, 31275536, 23237096, 28084177, 29114160]",8
J   Hwang,1000,"[27132067, 20581691, 21271589, 21477330, 23533584, 26277928, 27590453, 27631630, 27658122, 27666578, 28723598, 29095920, 29190632, 30003226, 31471428, 31490980, 32249815, 32291135]",18
J   Jang,1002,"[28878303, 32242342, 27381994]",3
A   Londero,101,"[15711472, 17046609, 17956800, 17956816, 19303613, 19926416, 22500699, 26773752, 29287622, 32362565, 12162101, 16493347, 16969308, 20633385, 20676372, 21647364, 22789414, 23177379, 23550269, 23597755, 27250987, 28835261, 29708062, 30488765, 30803389, 30871820, 32062654]",27
J   Koo,1014,"[28385885, 24953134, 26197352, 26745481, 27023015, 27351198, 27381994, 27525714, 27812001, 28826043, 28878303, 30624401, 31680845, 32457569]",14
J   Kuhn,1016,"[25319676, 26987755]",2
J   Lee,1023,"[29406247, 17368031, 24782947, 22977715, 31469796, 30352085, 32017804, 17945678, 23651913, 28943052, 29706416, 28813508, 29183894, 23620150, 27161899, 24914798, 26020239, 32472915, 32558752, 28068305, 27774600, 32955464, 25570560, 25756459, 26154843, 28286100, 28471721, 30287741, 31234248, 31830753, 32292383, 32735626, 32944806, 31079444, 20346181, 32955464, 29422923]",37
J   Leonetti,1027,"[17167600, 15379354, 27095048]",3
J   Li,1028,"[26072165, 29541537, 28641038, 26818136, 31133786, 31474821, 32714128, 26081078, 26054142, 29231363, 30477911, 24417170, 15318636]",13
J   Lopez-Escamez,1032,"[32444677, 27594824, 28333916, 28928766, 29889665, 30871820, 32334875, 32705497, 29375369]",9
J   Marques,1038,"[19205168, 19488554, 25773106, 27488989, 27488994]",5
J   Martins,1040,"[27186934, 27488992, 28452715]",3
J   Ni,1052,"[32315198, 26790209]",2
J   Ost,1057,"[20374277, 21563554, 19623097, 20186404, 27761741, 29888315]",6
J   Park,1060,"[10772302, 29324903, 24023574, 32955464, 26154843, 27023015, 23151834, 24296263, 29043888, 29649793, 32176148, 32269003]",12
A   Martini,107,"[20580171, 27186932, 29486316]",3
J   Ren,1072,"[26248439, 27458377]",2
J   Rhee,1073,"[31010735, 27812001, 31680845, 32735626]",4
J   Schmidt,1083,"[32370767, 25564147, 27259524, 27619040, 29757798, 30375953, 31365354, 21751942]",8
J   Schobel,1084,"[28018210, 28824415]",2
