author,persona0,persona1,persona2,persona3
0,0.2652854,0.0563535,0.6181485,0.0602126
1000,0.2713512,0.3266168,0.2211728,0.1808592
1002,0.198599,0.4779375,0.1570805,0.166383
101,0.4785557,0.1113269,0.2873667,0.1227507
1014,0.0586941,0.0504136,0.8425018,0.0483906
1016,0.2490877,0.2981663,0.3272264,0.1255196
1023,0.8592237,0.0114481,0.0294428,0.0998854
1027,0.1250003,0.6229492,0.1270505,0.125
1028,0.8971339,0.0314858,0.0344353,0.036945
1032,0.3978126,0.0898454,0.2184286,0.2939134
1038,0.0834426,0.0901376,0.7430864,0.0833333
1040,0.0738969,0.0625055,0.8010973,0.0625003
1052,0.7421955,0.0892552,0.0849369,0.0836124
1057,0.1257334,0.1431716,0.6060947,0.1250002
1060,0.3720309,0.2001969,0.2833969,0.1443753
107,0.0833334,0.0833402,0.7499826,0.0833438
1072,0.1250478,0.1250335,0.6249187,0.125
1073,0.5159819,0.0507994,0.3832159,0.0500028
1083,0.0419324,0.0416853,0.8738012,0.0425811
1084,0.7474259,0.0835838,0.085206,0.0837843
109,0.1787849,0.2303894,0.4654167,0.125409
1093,0.2057338,0.1653965,0.5349153,0.0939545
1098,0.421612,0.0354622,0.5226668,0.0202591
1099,0.0834016,0.254878,0.578387,0.0833333
1104,0.1293231,0.1303274,0.6153496,0.125
1115,0.8869797,0.0357177,0.0415867,0.0357158
1125,0.0760835,0.0357143,0.8524583,0.0357439
1127,0.7464441,0.0841623,0.0860603,0.0833333
1131,0.3715937,0.0249938,0.3730642,0.2303483
1132,0.8533376,0.0629906,0.0416667,0.0420051
1139,0.1283785,0.5712483,0.1753732,0.125
1145,0.1475175,0.035532,0.7851071,0.0318434
1153,0.0625426,0.8099354,0.0650221,0.0625
1163,0.1507371,0.0248371,0.7855636,0.0388621
1165,0.1250652,0.1403098,0.6096251,0.125
1170,0.0504733,0.0637096,0.8234641,0.062353
1177,0.2260387,0.5276409,0.159152,0.0871685
118,0.8408962,0.0500006,0.0588722,0.050231
1182,0.2336796,0.2842865,0.3566587,0.1253752
119,0.125054,0.5661877,0.1837583,0.125
1190,0.0416979,0.0787281,0.8349702,0.0446039
1193,0.0987921,0.1230625,0.694812,0.0833333
1195,0.0916714,0.0833356,0.7415326,0.0834604
1196,0.0361897,0.0399792,0.888114,0.0357171
12,0.1296068,0.1250301,0.6203632,0.125
1203,0.095712,0.0833505,0.7286831,0.0922545
1205,0.6717507,0.0428505,0.2437178,0.041681
1215,0.0836063,0.083741,0.698723,0.1339296
1226,0.1251724,0.4976546,0.252173,0.125
1227,0.0627045,0.0626778,0.6898679,0.1847498
1228,0.8174997,0.05,0.0822864,0.0502139
123,0.1097502,0.0378674,0.7937238,0.0586586
1233,0.1412528,0.1970354,0.5367118,0.125
1235,0.1284381,0.1266419,0.61992,0.125
1236,0.1257884,0.1251001,0.6241115,0.125
1249,0.7486556,0.0834399,0.0845711,0.0833333
1255,0.1079987,0.0833333,0.7253346,0.0833333
1257,0.189925,0.3671818,0.3909323,0.0519608
127,0.7777447,0.0655333,0.0942066,0.0625154
1273,0.7880562,0.05,0.1119424,0.0500014
1276,0.2149822,0.3392628,0.310711,0.135044
1277,0.8862361,0.0278391,0.0565937,0.0293311
1281,0.2559709,0.2446217,0.3722856,0.1271218
1286,0.4891421,0.0384362,0.4366419,0.0357798
1288,0.0833369,0.0833733,0.7491608,0.0841289
1291,0.1278937,0.2504876,0.4966187,0.1250001
1297,0.7499264,0.0833577,0.0833825,0.0833333
1300,0.743894,0.0833534,0.0894193,0.0833333
1315,0.0859537,0.0838387,0.7468498,0.0833578
1317,0.783426,0.0541864,0.1041774,0.0582102
1334,0.0700324,0.0500085,0.8299591,0.05
1341,0.125382,0.1265234,0.6230946,0.125
1344,0.0833361,0.2793378,0.5539928,0.0833333
1345,0.125,0.1261162,0.6238838,0.125
1346,0.1425207,0.6060576,0.1264217,0.125
1349,0.6796401,0.0833336,0.1536927,0.0833335
1362,0.0837229,0.0833333,0.7496104,0.0833333
1363,0.0673882,0.0715389,0.7666412,0.0944317
1366,0.0521519,0.032017,0.8484893,0.0673418
1368,0.1684628,0.2830972,0.4635879,0.0848521
1374,0.0833334,0.0838674,0.7494658,0.0833334
1380,0.1250093,0.1473869,0.6026038,0.125
1389,0.0833374,0.724762,0.1085673,0.0833333
1393,0.1267644,0.1250212,0.6232143,0.125
140,0.7176526,0.0790434,0.0693129,0.1339911
1403,0.1884416,0.0833917,0.644587,0.0835798
1407,0.3663152,0.0959744,0.4934824,0.0442281
142,0.0849007,0.0627291,0.7898697,0.0625006
1427,0.0833997,0.2092934,0.6006631,0.1066438
1428,0.0623081,0.0527935,0.8337897,0.0511087
143,0.0834045,0.0836514,0.7486115,0.0843325
1432,0.1992008,0.0743862,0.6422381,0.084175
1435,0.1271629,0.1277178,0.6201193,0.125
1436,0.1251201,0.1278361,0.6220438,0.125
1441,0.1253656,0.1567208,0.5929137,0.125
1442,0.0401692,0.0358718,0.793843,0.130116
1447,0.125118,0.1316803,0.6182017,0.125
1448,0.0630191,0.0625022,0.7958862,0.0785924
1467,0.3140563,0.063799,0.4427931,0.1793517
1469,0.063045,0.0625508,0.802969,0.0714351
147,0.1254785,0.5177815,0.23174,0.125
1473,0.4588439,0.068379,0.4087578,0.0640193
148,0.0630744,0.062528,0.8104858,0.0639117
1481,0.0884058,0.0625924,0.6740444,0.1749573
1492,0.7244916,0.0251547,0.2162988,0.0340548
1498,0.1250015,0.5610819,0.1889167,0.125
1505,0.1766029,0.058351,0.4397744,0.3252717
1507,0.1250456,0.1600855,0.5898688,0.125
1509,0.0639035,0.0626034,0.576337,0.2971562
151,0.2716664,0.0663782,0.2685967,0.3933588
1511,0.0482822,0.0416728,0.8683648,0.0416802
1515,0.6518357,0.0833366,0.1814233,0.0834044
1518,0.0854191,0.0947926,0.7296283,0.09016
1519,0.2376507,0.1168048,0.5261648,0.1193797
1525,0.9215277,0.0176547,0.0319545,0.0288631
1527,0.2676619,0.0548478,0.634188,0.0433023
153,0.1286537,0.125646,0.6207002,0.125
1537,0.1303871,0.1637636,0.5808492,0.1250001
1546,0.7424381,0.083335,0.0908935,0.0833333
1554,0.0279317,0.0250112,0.2951315,0.6519256
1561,0.4022868,0.1304832,0.3422299,0.125
1562,0.169611,0.3810554,0.3243335,0.1250001
1568,0.4439211,0.0873573,0.385388,0.0833335
157,0.1251783,0.2486788,0.501143,0.125
1576,0.1250163,0.6217365,0.1282472,0.125
1585,0.0833373,0.0848205,0.7485089,0.0833333
159,0.2699285,0.2502579,0.3539437,0.1258698
1591,0.8283176,0.0500045,0.069104,0.0525739
1594,0.1250002,0.1361799,0.6138198,0.125
1606,0.083382,0.1025414,0.720817,0.0932595
1619,0.3587127,0.0419987,0.5568261,0.0424624
1620,0.5139869,0.0524101,0.3886453,0.0449577
1631,0.7458038,0.08468,0.0861827,0.0833334
1639,0.2438721,0.4032836,0.2459943,0.1068499
1647,0.1251462,0.1312896,0.6185641,0.125
165,0.3407898,0.0833691,0.4925022,0.0833389
1656,0.1100727,0.0947903,0.6951984,0.0999386
1659,0.1265348,0.1267908,0.6216743,0.125
1660,0.3469772,0.083613,0.4850434,0.0843664
1661,0.1284135,0.2994334,0.4471532,0.125
1662,0.125212,0.1276302,0.6221578,0.125
1664,0.1904495,0.0268797,0.3865241,0.3961466
167,0.2448983,0.2970535,0.3343961,0.1236521
1671,0.0923458,0.0833396,0.7409657,0.0833488
1673,0.0545955,0.03125,0.8825731,0.0315814
1675,0.3655057,0.1522224,0.3989355,0.0833364
1685,0.3752187,0.1067752,0.3864321,0.1315741
1686,0.1254207,0.1250002,0.6245791,0.125
1689,0.8065872,0.0625852,0.0683272,0.0625004
1690,0.2822056,0.2395479,0.3518672,0.1263792
1692,0.5282969,0.0168375,0.4329986,0.021867
1696,0.065131,0.0653583,0.7580211,0.1114896
1697,0.2544773,0.4574864,0.1004126,0.1876236
1698,0.1253991,0.1341499,0.6154509,0.125
1702,0.0647646,0.0625747,0.7893599,0.0833008
1703,0.0609297,0.0154596,0.8908901,0.0327206
1706,0.0673723,0.0626998,0.8074279,0.0625001
1709,0.113424,0.083336,0.719888,0.083352
171,0.4869098,0.1400722,0.2480181,0.125
1710,0.4296922,0.0659876,0.4406458,0.0636743
1711,0.80821,0.0625008,0.0667883,0.0625009
1712,0.7069111,0.0312624,0.2288084,0.0330182
1716,0.0985903,0.2413277,0.5767486,0.0833334
1724,0.1250057,0.1250139,0.6249804,0.125
1728,0.125173,0.1253065,0.6245205,0.125
173,0.0830806,0.0168229,0.8818786,0.0182179
1731,0.7499206,0.0833635,0.0833826,0.0833333
1735,0.922227,0.0167252,0.0417093,0.0193385
1739,0.1313519,0.3410455,0.4026026,0.125
1746,0.7519978,0.0500646,0.1449623,0.0529753
1755,0.5350898,0.1167373,0.2298815,0.1182914
1756,0.1250014,0.6194589,0.1305397,0.125
1757,0.4203661,0.0867181,0.408452,0.0844639
1760,0.0833457,0.0833364,0.7499846,0.0833333
1764,0.3974689,0.5102348,0.0645182,0.0277781
1775,0.1284091,0.5381785,0.2478326,0.0855797
1781,0.6121704,0.0422466,0.2950681,0.0505149
1782,0.0833343,0.1153132,0.7180191,0.0833333
1784,0.0848147,0.0850429,0.7468079,0.0833346
1789,0.1275273,0.2417067,0.505766,0.125
1793,0.1418381,0.1252758,0.63723,0.0956561
1799,0.4692477,0.3014226,0.1459793,0.0833504
1801,0.1590361,0.05,0.7409637,0.0500002
1804,0.7991944,0.0278545,0.1451712,0.0277799
1805,0.7295441,0.0833415,0.1037811,0.0833333
1807,0.0833365,0.0834181,0.7498121,0.0834332
1812,0.7487574,0.0834781,0.0844312,0.0833333
1813,0.8124563,0.0625047,0.062539,0.0625
1815,0.0625892,0.0625,0.8124093,0.0625014
1818,0.3086721,0.3205197,0.243832,0.1269762
1820,0.0884913,0.0855673,0.7394339,0.0865075
1829,0.063665,0.0625972,0.8107633,0.0629745
1832,0.8057406,0.0626387,0.0691205,0.0625002
1834,0.0787691,0.050004,0.7287835,0.1424435
1842,0.0503815,0.0500037,0.8440725,0.0555424
1852,0.1258831,0.1270566,0.6220603,0.125
1858,0.7451605,0.0625211,0.1297937,0.0625247
1860,0.1315295,0.0323994,0.7738448,0.0622263
1866,0.3284692,0.0500056,0.5714245,0.0501008
1877,0.7474802,0.0656803,0.1484895,0.0383499
1879,0.1267538,0.1372704,0.6109758,0.125
1880,0.3283558,0.0833435,0.4712354,0.1170653
1881,0.1262651,0.1399537,0.6087812,0.125
1883,0.9324732,0.0193964,0.0280098,0.0201206
1890,0.398512,0.4262044,0.0918452,0.0834384
1891,0.0874052,0.0914106,0.7014165,0.1197677
1892,0.2116042,0.0950318,0.6234204,0.0699436
1897,0.125,0.1250005,0.6249995,0.125
19,0.1250002,0.1253019,0.624698,0.125
1903,0.7496426,0.083532,0.0834921,0.0833333
1905,0.1258272,0.1258177,0.6233552,0.125
1906,0.1250575,0.1270587,0.6228838,0.125
1911,0.6593501,0.0833407,0.1739521,0.0833571
1912,0.1392765,0.6085148,0.1272087,0.125
1916,0.1313242,0.1305627,0.6131132,0.125
1917,0.6611481,0.1721853,0.0833333,0.0833333
192,0.3499965,0.1720941,0.3982984,0.0796111
1934,0.749398,0.0833347,0.0839339,0.0833333
1937,0.0834512,0.0833355,0.7497988,0.0834145
1944,0.3561984,0.1252993,0.3935022,0.1250001
1945,0.7479504,0.0834084,0.0853079,0.0833333
1952,0.9202625,0.0263103,0.0284175,0.0250097
1954,0.8960737,0.0316524,0.0409416,0.0313323
1961,0.0868442,0.0833333,0.7464891,0.0833333
1966,0.1407176,0.5993062,0.1349763,0.125
1968,0.0882887,0.0917273,0.7366507,0.0833333
1970,0.0650053,0.0625,0.8098051,0.0626896
1974,0.6978876,0.1994647,0.0500326,0.0526151
1978,0.129725,0.1713339,0.5739411,0.125
1988,0.9329251,0.0227298,0.0286217,0.0157233
1989,0.2461472,0.0833432,0.5871763,0.0833333
1993,0.0877637,0.1343407,0.6945623,0.0833333
