author,persona0,persona1,persona2,persona3
1011,0.1169859,0.5566357,0.2696023,0.056776
1060,0.3258119,0.1502698,0.4563099,0.0676084
1112,0.0319002,0.0344803,0.0459542,0.8876653
1118,0.0833336,0.4467383,0.3865767,0.0833513
1169,0.0833333,0.3572818,0.4760377,0.0833472
1171,0.0377969,0.0357143,0.0725618,0.853927
1176,0.1281323,0.0228441,0.8142773,0.0347463
123,0.387779,0.0506106,0.5251759,0.0364344
1265,0.0833333,0.0833333,0.75,0.0833334
1329,0.7998253,0.0625,0.0751745,0.0625002
1358,0.0418669,0.0434643,0.8730018,0.041667
1381,0.0833336,0.4320079,0.4013233,0.0833351
1396,0.0520776,0.047146,0.8482982,0.0524782
1508,0.0833333,0.0833336,0.7499938,0.0833393
1510,0.0312501,0.8960102,0.0413773,0.0313624
163,0.0833333,0.0833838,0.7418404,0.0914425
166,0.042001,0.041668,0.8741084,0.0422226
1670,0.0833333,0.0833333,0.75,0.0833333
1797,0.0439458,0.0416671,0.8726611,0.041726
1800,0.0357145,0.7425834,0.1636608,0.0580413
1803,0.1674176,0.4359989,0.1608777,0.2357058
1820,0.755223,0.0500025,0.1445613,0.0502132
1827,0.1825319,0.6851042,0.0938599,0.038504
1830,0.0833355,0.0833333,0.7286385,0.1046927
1837,0.0833699,0.0833333,0.7385249,0.0947719
1901,0.0833333,0.0833333,0.75,0.0833333
1927,0.0625383,0.0625042,0.811696,0.0632615
1940,0.4442034,0.0636489,0.4522421,0.0399056
1941,0.035877,0.5047203,0.2057496,0.2536531
1954,0.1727195,0.3273271,0.1386231,0.3613303
2136,0.0834166,0.0833346,0.7499155,0.0833333
2271,0.0833333,0.1184092,0.7149242,0.0833333
2273,0.1190964,0.0215344,0.8415085,0.0178607
228,0.0833393,0.0833333,0.7472238,0.0861036
2285,0.0625,0.0651332,0.8098668,0.0625
2290,0.1806223,0.4196914,0.346941,0.0527453
240,0.0833351,0.083334,0.7499618,0.0833691
249,0.6092361,0.2095012,0.157742,0.0235207
318,0.0833337,0.0835847,0.4175106,0.4155709
325,0.0456794,0.0437672,0.8674808,0.0430726
382,0.041671,0.0416667,0.8749941,0.0416683
54,0.125,0.125,0.625,0.125
541,0.8724626,0.0416667,0.0440849,0.0417858
552,0.0833341,0.0833335,0.7498512,0.0834812
568,0.0625307,0.0625,0.8124524,0.0625169
630,0.0833333,0.119867,0.7134653,0.0833343
654,0.2333771,0.0675743,0.395104,0.3039446
668,0.05,0.05,0.8499999,0.0500001
690,0.189688,0.3272296,0.1989753,0.284107
712,0.1928578,0.7471045,0.0364854,0.0235522
751,0.0625,0.0759049,0.7986352,0.0629599
841,0.5643554,0.0500109,0.3356061,0.0500276
927,0.5083442,0.0416737,0.4083141,0.0416679
988,0.17528,0.0833338,0.6580529,0.0833333
990,0.0500003,0.0503126,0.8415363,0.0581508
993,0.0582838,0.0593128,0.8774449,0.0049584
100,0.0625009,0.8079696,0.0670282,0.0625013
1056,0.0326266,0.4073481,0.4046147,0.1554106
1103,0.05,0.8304133,0.0653643,0.0542224
1119,0.2127994,0.6205145,0.0833355,0.0833506
114,0.7971698,0.1036863,0.0678002,0.0313436
1147,0.125,0.6249972,0.125,0.1250027
1199,0.0833333,0.1181862,0.7149576,0.0835228
1209,0.1639735,0.2914645,0.3319172,0.2126447
1222,0.0833337,0.4473631,0.1017957,0.3675075
1274,0.1757296,0.4088714,0.2740238,0.1413752
1277,0.030861,0.5958995,0.342038,0.0312015
1350,0.0833333,0.7499973,0.0833333,0.083336
1353,0.0625002,0.8096379,0.0653617,0.0625002
1373,0.0833333,0.7483101,0.0833333,0.0850233
1408,0.1255051,0.7982678,0.0401643,0.0360628
1463,0.3522902,0.224639,0.1073226,0.3157482
1522,0.0745096,0.2245759,0.4549891,0.2459254
1541,0.0833333,0.7499991,0.0833333,0.0833342
1708,0.1314963,0.8093303,0.0279588,0.0312146
1713,0.5853183,0.2477777,0.0833379,0.0835661
1791,0.0724548,0.4561916,0.2953228,0.1760307
1818,0.1112638,0.5967636,0.1381414,0.1538312
1867,0.3810781,0.3283964,0.2606917,0.0298338
1920,0.125,0.6248398,0.125,0.1251602
1951,0.0922121,0.4542237,0.4117277,0.0418365
1974,0.5373035,0.0565786,0.3810785,0.0250394
2042,0.0833368,0.665823,0.1675068,0.0833333
2111,0.0500001,0.1841367,0.2425489,0.5233143
2118,0.4375275,0.2943286,0.1238516,0.1442923
2130,0.0833333,0.7498056,0.0833333,0.0835277
2154,0.026396,0.919205,0.0288851,0.0255139
2187,0.0833333,0.739298,0.0833334,0.0940352
2223,0.0625044,0.4471692,0.2564789,0.2338474
2281,0.0500043,0.0635815,0.814986,0.0714282
2286,0.0365767,0.8478731,0.0630085,0.0525417
2302,0.0436876,0.5797221,0.3453263,0.031264
282,0.2189567,0.1963917,0.3432379,0.2414136
319,0.0729204,0.5297808,0.3629891,0.0343097
331,0.0833335,0.7499254,0.0833333,0.0834078
336,0.05,0.1154911,0.05,0.7845088
337,0.0847513,0.482524,0.0866076,0.3461171
42,0.2522268,0.6530873,0.0459529,0.0487331
430,0.3983378,0.1436361,0.3181804,0.1398457
487,0.2687804,0.3323196,0.1487213,0.2501787
52,0.125,0.6249995,0.125,0.1250005
692,0.0778444,0.7454168,0.1412038,0.0355349
716,0.3425819,0.3851919,0.1829063,0.0893199
720,0.5353461,0.1169207,0.2045626,0.1431706
745,0.0357154,0.8391385,0.0375621,0.0875841
756,0.0416667,0.8490491,0.0432613,0.0660229
829,0.3079473,0.5669612,0.062585,0.0625066
839,0.0278146,0.0540193,0.8837593,0.0344068
840,0.220465,0.0997732,0.6369185,0.0428433
876,0.9497989,0.0218768,0.0156779,0.0126464
887,0.0833341,0.7033944,0.1299379,0.0833336
911,0.0833333,0.1527022,0.6806293,0.0833352
92,0.0625004,0.7837971,0.0627902,0.0909123
926,0.8637973,0.0512443,0.0416669,0.0432915
953,0.0833333,0.3594624,0.0833333,0.4738709
101,0.190354,0.1080136,0.3742704,0.327362
1010,0.2588813,0.0874318,0.2537882,0.3998987
1041,0.0840805,0.0833333,0.748856,0.0837302
1066,0.0836017,0.0833333,0.7497192,0.0833458
1067,0.0322326,0.0314071,0.2908085,0.6455517
1068,0.5574691,0.1250002,0.1925298,0.1250009
1108,0.7381971,0.0833333,0.086601,0.0918686
1128,0.2299895,0.1665397,0.5665444,0.0369264
1131,0.3548758,0.1507643,0.4681333,0.0262266
1154,0.8389683,0.0607321,0.0502995,0.05
1246,0.0628497,0.0626703,0.8097961,0.0646839
1295,0.0629756,0.0625001,0.0629633,0.811561
1453,0.7283641,0.0833333,0.104969,0.0833336
15,0.1277318,0.125,0.6222682,0.125
1524,0.0208366,0.0759195,0.8822873,0.0209567
155,0.0878865,0.573258,0.2555215,0.083334
