time,persona,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
2000,0,0.044092775,0.034016296,0.156789954,0.062303701,0.021070877,0.008221156,0.066079521,0.236632405,0.187642297,0.065222211,0.117928808
2000,1,0.082552132,0.137785615,0.087220206,0.037410916,0.127140663,0.111638168,0.009570965,0.167181906,0.026693176,0.081571537,0.131234716
2000,2,0.02205293,0.027159155,0.191513709,0.071223423,0.016583113,0.006575761,0.07370306,0.228552287,0.217817908,0.038232073,0.106586581
2000,3,0.120640195,0.118690693,0.047674832,0.116575268,0.123759308,0.134161598,0.110920245,0.003745476,0.035355801,0.113477637,0.074998948
2001,0,0.052589652,0.039486148,0.149740907,0.060774116,0.019919456,0.012773777,0.06874341,0.221978656,0.183689001,0.067187659,0.123117217
2001,1,0.08818703,0.132310575,0.08599123,0.043163975,0.122607329,0.117989169,0.013735068,0.163541066,0.034589703,0.074897172,0.122987683
2001,2,0.029451676,0.032021186,0.18970018,0.0761216,0.016955455,0.00956261,0.068731019,0.222051943,0.213089654,0.037703657,0.10461102
2001,3,0.116100518,0.116500087,0.050418735,0.120242662,0.123634601,0.132613421,0.113115134,0.005876385,0.034208333,0.11366852,0.073621605
2002,0,0.062728832,0.045902124,0.139921618,0.059698205,0.018341531,0.018866595,0.072475443,0.204279281,0.180114557,0.069588128,0.128083687
2002,1,0.094675323,0.126820349,0.083999901,0.047969741,0.117783403,0.123528927,0.019298657,0.162039083,0.043701946,0.067789404,0.112393264
2002,2,0.037602385,0.035958906,0.187023476,0.083382688,0.016840239,0.013616811,0.063689227,0.215173812,0.210054706,0.036156708,0.100501043
2002,3,0.110513733,0.113323235,0.054794783,0.124895305,0.122601636,0.1296581,0.115866285,0.008721904,0.033058587,0.114130825,0.072435606
2003,0,0.0746449,0.053555024,0.12743344,0.058672692,0.015873317,0.027130951,0.075764117,0.185084781,0.178661329,0.070330483,0.132848966
2003,1,0.105272552,0.122582852,0.077090882,0.054372418,0.115376008,0.133155943,0.02700078,0.15315254,0.04754869,0.064509223,0.099938112
2003,2,0.046143281,0.039113516,0.182331498,0.094595635,0.015795835,0.019115056,0.056776474,0.208018476,0.208364629,0.033102629,0.09664297
2003,3,0.103346418,0.109783148,0.061644909,0.129934608,0.121065924,0.125587535,0.118823658,0.012605699,0.031008638,0.114699618,0.071499846
2004,0,0.085557114,0.062008612,0.114348821,0.055230994,0.013886342,0.038539356,0.075419385,0.171929735,0.177059693,0.068919985,0.137099964
2004,1,0.115738278,0.115780235,0.073365476,0.058800805,0.107016419,0.138770462,0.031115897,0.153680152,0.057182357,0.058159514,0.090390405
2004,2,0.054354692,0.042643065,0.175107468,0.108823033,0.01639009,0.0261592,0.049307085,0.200704756,0.202993502,0.029619055,0.093898055
2004,3,0.095626951,0.107636994,0.069195408,0.132151201,0.121770219,0.120976973,0.1215772,0.017777347,0.027715442,0.116751648,0.068820617
2005,0,0.096296654,0.071340106,0.103183233,0.054430932,0.013297729,0.050210162,0.072515126,0.164594719,0.1745894,0.06291159,0.136630349
2005,1,0.127407621,0.106183803,0.071284118,0.062081294,0.092836146,0.140288719,0.032020487,0.15975858,0.073642678,0.049092627,0.085403926
2005,2,0.060938793,0.046522905,0.167076246,0.121794419,0.018580097,0.035847749,0.044232537,0.196156405,0.191020956,0.028415103,0.089414792
2005,3,0.088074588,0.105532626,0.077785528,0.129690043,0.122927242,0.114274265,0.123455435,0.022744988,0.027501518,0.119700626,0.068313141
2006,0,0.10788503,0.081344439,0.092621797,0.052554048,0.014141504,0.06172788,0.071632265,0.157574363,0.169607827,0.057071195,0.133839651
2006,1,0.139009635,0.097167797,0.070048513,0.067434969,0.080484181,0.142760173,0.03662042,0.162132039,0.081138551,0.04057336,0.082630361
2006,2,0.065370051,0.05132281,0.160891965,0.127605607,0.022716422,0.044037809,0.039630929,0.195996293,0.178157935,0.028753702,0.085516478
2006,3,0.081632302,0.10367905,0.085156565,0.128524797,0.121581903,0.108067402,0.122723947,0.02838133,0.030630619,0.121954362,0.067667723
2007,0,0.120655604,0.086458508,0.088104475,0.055436051,0.016410634,0.070460876,0.070246921,0.153190358,0.160987992,0.052499555,0.125549027
2007,1,0.142325385,0.08802508,0.068808808,0.079159825,0.067238722,0.13739782,0.044602213,0.158461387,0.091552641,0.036247515,0.086180604
2007,2,0.06943357,0.054190802,0.156171124,0.129887252,0.029296067,0.051751333,0.035378991,0.197678099,0.163990809,0.030827014,0.08139494
2007,3,0.075750992,0.104193256,0.090374159,0.126093118,0.117688624,0.102652795,0.121509563,0.033670841,0.037395016,0.122298,0.068373634
2008,0,0.131406034,0.092349294,0.089659847,0.061245181,0.020374441,0.074095775,0.072960755,0.144558908,0.147944358,0.053380967,0.112024439
2008,1,0.142355234,0.082307366,0.068787563,0.094072079,0.058722292,0.133902062,0.054938505,0.148728914,0.09300915,0.036340366,0.086836468
2008,2,0.065859085,0.057962913,0.157541695,0.136559412,0.037927175,0.055103966,0.034357291,0.195716067,0.147195076,0.036595572,0.075181747
2008,3,0.073777326,0.103349468,0.09360602,0.124846418,0.11073705,0.099890917,0.117634479,0.043137744,0.045514852,0.118645974,0.068859751
2009,0,0.13894952,0.097578409,0.093692564,0.070829852,0.0263972,0.078112431,0.077312372,0.135006396,0.130945914,0.05795304,0.093222302
2009,1,0.13736648,0.079154912,0.069243971,0.110141653,0.05347071,0.130032176,0.065699151,0.137069414,0.091221916,0.040606205,0.085993413
2009,2,0.062665797,0.062361342,0.154002976,0.13376469,0.049888353,0.059394868,0.037151063,0.188925325,0.129765223,0.044745131,0.077335232
