source,target,value,label
0,11,0.897098,0
0,15,0.850597,1
0,18,0.905293,2
1,15,0.80881,3
2,13,0.838365,4
3,3,0.0000001,5
4,4,0.0000001,6
5,5,0.0000001,7
6,6,0.0000001,8
7,7,0.0000001,9
8,11,0.865139,10
9,9,0.0000001,11
10,10,0.0000001,12
11,23,0.804316,13
11,26,0.838886,14
12,12,0.0000001,15
13,22,0.875912,16
13,26,0.832881,17
14,31,0.805061,18
15,22,0.829423,19
15,26,0.896746,20
16,16,0.0000001,21
17,17,0.0000001,22
18,23,0.902047,23
18,30,0.806654,24
19,22,0.823824,25
19,25,0.867762,26
20,20,0.0000001,27
21,28,0.867207,28
22,41,0.823739,29
23,23,0,30
24,24,0.0000001,31
25,38,0.809259,32
25,40,0.818572,33
26,26,0,34
27,42,0.802208,35
28,43,0.884429,36
29,29,0.0000001,37
30,30,0,38
31,31,0,39
32,41,0.812042,40
33,33,0.0000001,41
34,34,0.0000001,42
35,35,0.0000001,43
36,36,0.0000001,
37,37,0.0000001,
38,38,0,
39,39,0.0000001,
40,40,0,
41,41,0,
42,42,0,
43,43,0,
